"","everwrk","age_p","r_maritl"
"28534","1 Yes",27,"7 Never married"
"28535","1 Yes",45,"1 Married - spouse in household"
"28536","2 No",30,"7 Never married"
"28537","1 Yes",66,"5 Divorced"
"28538","1 Yes",69,"1 Married - spouse in household"
"28539","1 Yes",85,"4 Widowed"
"28540","1 Yes",45,"1 Married - spouse in household"
"28541","1 Yes",54,"1 Married - spouse in household"
"28542","1 Yes",62,"8 Living with partner"
"28543","1 Yes",45,"1 Married - spouse in household"
"28544","1 Yes",56,"1 Married - spouse in household"
"28545","1 Yes",68,"7 Never married"
"28546","1 Yes",56,"8 Living with partner"
"28547","1 Yes",41,"1 Married - spouse in household"
"28548","1 Yes",58,"1 Married - spouse in household"
"28549","1 Yes",52,"7 Never married"
"28550","1 Yes",62,"5 Divorced"
"28551","1 Yes",79,"1 Married - spouse in household"
"28552","1 Yes",30,"1 Married - spouse in household"
"28553","1 Yes",58,"5 Divorced"
"28554","1 Yes",60,"7 Never married"
"28555","1 Yes",55,"1 Married - spouse in household"
"28556","2 No",36,"8 Living with partner"
"28557","2 No",19,"7 Never married"
"28558","1 Yes",58,"1 Married - spouse in household"
"28559","1 Yes",38,"1 Married - spouse in household"
"28560","1 Yes",57,"1 Married - spouse in household"
"28561","1 Yes",68,"4 Widowed"
"28562","1 Yes",25,"1 Married - spouse in household"
"28563","1 Yes",68,"1 Married - spouse in household"
"28564","1 Yes",57,"1 Married - spouse in household"
"28565","1 Yes",66,"4 Widowed"
"28566","1 Yes",40,"1 Married - spouse in household"
"28567","1 Yes",27,"7 Never married"
"28568","1 Yes",27,"7 Never married"
"28569","1 Yes",57,"5 Divorced"
"28570","2 No",28,"1 Married - spouse in household"
"28571","1 Yes",44,"7 Never married"
"28572","1 Yes",79,"5 Divorced"
"28573","1 Yes",33,"1 Married - spouse in household"
"28574","2 No",19,"8 Living with partner"
"28575","1 Yes",45,"8 Living with partner"
"28576","2 No",38,"6 Separated"
"28577","2 No",28,"1 Married - spouse in household"
"28578","1 Yes",41,"1 Married - spouse in household"
"28579","1 Yes",68,"1 Married - spouse in household"
"28580","1 Yes",58,"5 Divorced"
"28581","1 Yes",30,"7 Never married"
"28582","1 Yes",45,"5 Divorced"
"28583","1 Yes",23,"7 Never married"
"28584","1 Yes",45,"7 Never married"
"28585","1 Yes",23,"7 Never married"
"28586","1 Yes",25,"7 Never married"
"28587","1 Yes",56,"5 Divorced"
"28588","1 Yes",58,"4 Widowed"
"28589","1 Yes",71,"1 Married - spouse in household"
"28590","2 No",29,"1 Married - spouse in household"
"28591","1 Yes",51,"5 Divorced"
"28592","2 No",64,"6 Separated"
"28593","1 Yes",65,"5 Divorced"
"28594","1 Yes",55,"5 Divorced"
"28595","1 Yes",69,"5 Divorced"
"28596","1 Yes",28,"6 Separated"
"28597","1 Yes",54,"5 Divorced"
"28598","1 Yes",60,"1 Married - spouse in household"
"28599","2 No",85,"4 Widowed"
"28600","1 Yes",24,"7 Never married"
"28601","1 Yes",63,"1 Married - spouse in household"
"28602","1 Yes",78,"4 Widowed"
"28603","1 Yes",61,"1 Married - spouse in household"
"28604","2 No",36,"1 Married - spouse in household"
"28605","1 Yes",41,"1 Married - spouse in household"
"28606","1 Yes",19,"7 Never married"
"28607","1 Yes",85,"4 Widowed"
"28608","1 Yes",52,"2 Married - spouse not in household"
"28609","1 Yes",61,"1 Married - spouse in household"
"28610","1 Yes",53,"1 Married - spouse in household"
"28611","1 Yes",44,"1 Married - spouse in household"
"28612","1 Yes",25,"7 Never married"
"28613","2 No",25,"7 Never married"
"28614","1 Yes",25,"7 Never married"
"28615","1 Yes",25,"7 Never married"
"28616","1 Yes",39,"1 Married - spouse in household"
"28617","1 Yes",35,"1 Married - spouse in household"
"28618","1 Yes",31,"7 Never married"
"28619","1 Yes",54,"1 Married - spouse in household"
"28620","1 Yes",41,"8 Living with partner"
"28621","1 Yes",56,"5 Divorced"
"28622","1 Yes",19,"7 Never married"
"28623","1 Yes",37,"1 Married - spouse in household"
"28624","2 No",48,"1 Married - spouse in household"
"28625","1 Yes",35,"1 Married - spouse in household"
"28626","1 Yes",47,"7 Never married"
"28627","1 Yes",40,"2 Married - spouse not in household"
"28628","2 No",47,"1 Married - spouse in household"
"28629","1 Yes",24,"7 Never married"
"28630","1 Yes",46,"5 Divorced"
"28631","1 Yes",40,"1 Married - spouse in household"
"28632","1 Yes",24,"7 Never married"
"28633","1 Yes",71,"1 Married - spouse in household"
"28634","1 Yes",54,"5 Divorced"
"28635","1 Yes",25,"7 Never married"
"28636","2 No",23,"7 Never married"
"28637","1 Yes",56,"5 Divorced"
"28638","1 Yes",44,"5 Divorced"
"28639","1 Yes",73,"4 Widowed"
"28640","1 Yes",46,"1 Married - spouse in household"
"28641","1 Yes",19,"7 Never married"
"28642","1 Yes",64,"1 Married - spouse in household"
"28643","1 Yes",26,"7 Never married"
"28644","1 Yes",26,"7 Never married"
"28645","1 Yes",46,"1 Married - spouse in household"
"28646","1 Yes",40,"1 Married - spouse in household"
"28647","1 Yes",66,"5 Divorced"
"28648","1 Yes",55,"5 Divorced"
"28649","2 No",27,"1 Married - spouse in household"
"28650","1 Yes",67,"1 Married - spouse in household"
"28651","1 Yes",68,"4 Widowed"
"28652","1 Yes",80,"4 Widowed"
"28653","1 Yes",64,"1 Married - spouse in household"
"28654","1 Yes",27,"7 Never married"
"28655","1 Yes",45,"7 Never married"
"28656","2 No",81,"1 Married - spouse in household"
"28657","1 Yes",22,"7 Never married"
"28658","2 No",24,"7 Never married"
"28659","1 Yes",57,"1 Married - spouse in household"
"28660","1 Yes",85,"4 Widowed"
"28661","1 Yes",46,"8 Living with partner"
"28662","2 No",30,"8 Living with partner"
"28663","2 No",65,"1 Married - spouse in household"
"28664","1 Yes",22,"7 Never married"
"28665","1 Yes",31,"1 Married - spouse in household"
"28666","2 No",25,"8 Living with partner"
"28667","1 Yes",56,"1 Married - spouse in household"
"28668","1 Yes",68,"5 Divorced"
"28669","2 No",21,"7 Never married"
"28670","1 Yes",56,"5 Divorced"
"28671","1 Yes",70,"8 Living with partner"
"28672","1 Yes",35,"1 Married - spouse in household"
"28673","1 Yes",35,"1 Married - spouse in household"
"28674","1 Yes",19,"7 Never married"
"28675","1 Yes",19,"7 Never married"
"28676","1 Yes",61,"1 Married - spouse in household"
"28677","1 Yes",22,"7 Never married"
"28678","1 Yes",18,"7 Never married"
"28679","1 Yes",22,"7 Never married"
"28680","1 Yes",40,"2 Married - spouse not in household"
"28681","1 Yes",41,"2 Married - spouse not in household"
"28682","1 Yes",85,"4 Widowed"
"28683","1 Yes",46,"5 Divorced"
"28684","1 Yes",51,"7 Never married"
"28685","1 Yes",64,"5 Divorced"
"28686","2 No",33,"1 Married - spouse in household"
"28687","1 Yes",52,"1 Married - spouse in household"
"28688","1 Yes",85,"4 Widowed"
"28689","1 Yes",85,"4 Widowed"
"28690","1 Yes",68,"2 Married - spouse not in household"
"28691","1 Yes",35,"1 Married - spouse in household"
"28692","2 No",32,"1 Married - spouse in household"
"28693","1 Yes",64,"1 Married - spouse in household"
"28694","1 Yes",38,"1 Married - spouse in household"
"28695","1 Yes",37,"1 Married - spouse in household"
"28696","2 No",22,"8 Living with partner"
"28697","2 No",59,"1 Married - spouse in household"
"28698","1 Yes",57,"1 Married - spouse in household"
"28699","1 Yes",62,"1 Married - spouse in household"
"28700","1 Yes",37,"1 Married - spouse in household"
"28701","1 Yes",74,"5 Divorced"
"28702","1 Yes",58,"7 Never married"
"28703","1 Yes",32,"1 Married - spouse in household"
"28704","1 Yes",19,"7 Never married"
"28705","1 Yes",43,"1 Married - spouse in household"
"28706","1 Yes",48,"1 Married - spouse in household"
"28707","1 Yes",44,"1 Married - spouse in household"
"28708","1 Yes",70,"4 Widowed"
"28709","1 Yes",76,"4 Widowed"
"28710","1 Yes",74,"4 Widowed"
"28711","1 Yes",67,"4 Widowed"
"28712","1 Yes",68,"1 Married - spouse in household"
"28713","1 Yes",54,"7 Never married"
"28714","1 Yes",69,"4 Widowed"
"28715","1 Yes",29,"1 Married - spouse in household"
"28716","1 Yes",65,"1 Married - spouse in household"
"28717","1 Yes",60,"1 Married - spouse in household"
"28718","1 Yes",53,"5 Divorced"
"28719","1 Yes",61,"1 Married - spouse in household"
"28720","2 No",23,"7 Never married"
"28721","1 Yes",19,"8 Living with partner"
"28722","1 Yes",65,"1 Married - spouse in household"
"28723","1 Yes",51,"8 Living with partner"
"28724","1 Yes",52,"1 Married - spouse in household"
"28725","2 No",28,"7 Never married"
"28726","1 Yes",27,"8 Living with partner"
"28727","1 Yes",46,"1 Married - spouse in household"
"28728","2 No",52,"7 Never married"
"28729","1 Yes",84,"1 Married - spouse in household"
"28730","1 Yes",45,"1 Married - spouse in household"
"28731","1 Yes",71,"4 Widowed"
"28732","1 Yes",35,"7 Never married"
"28733","1 Yes",68,"2 Married - spouse not in household"
"28734","1 Yes",85,"4 Widowed"
"28735","1 Yes",57,"5 Divorced"
"28736","1 Yes",54,"1 Married - spouse in household"
"28737","1 Yes",18,"7 Never married"
"28738","1 Yes",49,"7 Never married"
"28739","2 No",24,"7 Never married"
"28740","1 Yes",38,"6 Separated"
"28741","1 Yes",67,"2 Married - spouse not in household"
"28742","2 No",59,"1 Married - spouse in household"
"28743","1 Yes",80,"7 Never married"
"28744","1 Yes",54,"1 Married - spouse in household"
"28745","1 Yes",71,"4 Widowed"
"28746","2 No",22,"7 Never married"
"28747","1 Yes",73,"4 Widowed"
"28748","1 Yes",62,"8 Living with partner"
"28749","1 Yes",41,"1 Married - spouse in household"
"28750","1 Yes",64,"5 Divorced"
"28751","2 No",40,"6 Separated"
"28752","1 Yes",79,"4 Widowed"
"28753","2 No",26,"7 Never married"
"28754","1 Yes",33,"8 Living with partner"
"28755","2 No",21,"7 Never married"
"28756","1 Yes",55,"1 Married - spouse in household"
"28757","1 Yes",36,"1 Married - spouse in household"
"28758","1 Yes",36,"1 Married - spouse in household"
"28759","1 Yes",54,"6 Separated"
"28760","1 Yes",71,"1 Married - spouse in household"
"28761","2 No",44,"5 Divorced"
"28762","1 Yes",61,"1 Married - spouse in household"
"28763","1 Yes",27,"1 Married - spouse in household"
"28764","1 Yes",66,"4 Widowed"
"28765","2 No",40,"6 Separated"
"28766","1 Yes",63,"1 Married - spouse in household"
"28767","1 Yes",65,"1 Married - spouse in household"
"28768","1 Yes",28,"1 Married - spouse in household"
"28769","1 Yes",51,"5 Divorced"
"28770","1 Yes",35,"7 Never married"
"28771","1 Yes",82,"4 Widowed"
"28772","1 Yes",61,"5 Divorced"
"28773","1 Yes",46,"5 Divorced"
"28774","1 Yes",50,"5 Divorced"
"28775","1 Yes",43,"1 Married - spouse in household"
"28776","1 Yes",65,"1 Married - spouse in household"
"28777","1 Yes",74,"4 Widowed"
"28778","2 No",37,"1 Married - spouse in household"
"28779","1 Yes",40,"7 Never married"
"28780","1 Yes",36,"1 Married - spouse in household"
"28781","1 Yes",42,"1 Married - spouse in household"
"28782","1 Yes",26,"7 Never married"
"28783","1 Yes",51,"1 Married - spouse in household"
"28784","1 Yes",39,"2 Married - spouse not in household"
"28785","2 No",62,"6 Separated"
"28786","1 Yes",35,"6 Separated"
"28787","1 Yes",40,"1 Married - spouse in household"
"28788","1 Yes",36,"1 Married - spouse in household"
"28789","2 No",79,"8 Living with partner"
"28790","1 Yes",34,"8 Living with partner"
"28791","1 Yes",78,"4 Widowed"
"28792","1 Yes",58,"5 Divorced"
"28793","1 Yes",46,"5 Divorced"
"28794","1 Yes",64,"5 Divorced"
"28795","1 Yes",47,"1 Married - spouse in household"
"28796","1 Yes",72,"1 Married - spouse in household"
"28797","2 No",40,"1 Married - spouse in household"
"28798","2 No",23,"7 Never married"
"28799","1 Yes",70,"5 Divorced"
"28800","1 Yes",19,"7 Never married"
"28801","2 No",69,"6 Separated"
"28802","2 No",26,"7 Never married"
"28803","1 Yes",51,"5 Divorced"
"28804","1 Yes",41,"1 Married - spouse in household"
"28805","2 No",21,"5 Divorced"
"28806","1 Yes",39,"5 Divorced"
"28807","1 Yes",85,"1 Married - spouse in household"
"28808","2 No",32,"1 Married - spouse in household"
"28809","1 Yes",31,"1 Married - spouse in household"
"28810","2 No",23,"7 Never married"
"28811","1 Yes",45,"7 Never married"
"28812","1 Yes",40,"9 Unknown marital status"
"28813","1 Yes",80,"4 Widowed"
"28814","1 Yes",36,"7 Never married"
"28815","1 Yes",62,"5 Divorced"
"28816","1 Yes",47,"8 Living with partner"
"28817","1 Yes",50,"2 Married - spouse not in household"
"28818","1 Yes",50,"5 Divorced"
"28819","1 Yes",57,"5 Divorced"
"28820","1 Yes",53,"1 Married - spouse in household"
"28821","1 Yes",68,"5 Divorced"
"28822","1 Yes",59,"4 Widowed"
"28823","1 Yes",23,"1 Married - spouse in household"
"28824","1 Yes",42,"5 Divorced"
"28825","1 Yes",55,"1 Married - spouse in household"
"28826","1 Yes",85,"4 Widowed"
"28827","1 Yes",74,"1 Married - spouse in household"
"28828","1 Yes",59,"5 Divorced"
"28829","1 Yes",39,"6 Separated"
"28830","1 Yes",48,"1 Married - spouse in household"
"28831","1 Yes",77,"4 Widowed"
"28832","1 Yes",27,"8 Living with partner"
"28833","2 No",58,"1 Married - spouse in household"
"28834","1 Yes",37,"1 Married - spouse in household"
"28835","1 Yes",61,"5 Divorced"
"28836","1 Yes",76,"1 Married - spouse in household"
"28837","1 Yes",46,"5 Divorced"
"28838","1 Yes",84,"4 Widowed"
"28839","2 No",21,"7 Never married"
"28840","1 Yes",63,"5 Divorced"
"28841","1 Yes",23,"1 Married - spouse in household"
"28842","1 Yes",46,"6 Separated"
"28843","1 Yes",39,"1 Married - spouse in household"
"28844","1 Yes",21,"1 Married - spouse in household"
"28845","1 Yes",52,"5 Divorced"
"28846","7 Refused",34,"1 Married - spouse in household"
"28847","2 No",50,"1 Married - spouse in household"
"28848","1 Yes",63,"1 Married - spouse in household"
"28849","1 Yes",47,"7 Never married"
"28850","1 Yes",29,"8 Living with partner"
"28851","2 No",33,"7 Never married"
"28852","1 Yes",59,"1 Married - spouse in household"
"28853","1 Yes",51,"1 Married - spouse in household"
"28854","1 Yes",80,"4 Widowed"
"28855","2 No",81,"4 Widowed"
"28856","1 Yes",74,"4 Widowed"
"28857","1 Yes",74,"5 Divorced"
"28858","1 Yes",33,"1 Married - spouse in household"
"28859","1 Yes",54,"9 Unknown marital status"
"28860","2 No",50,"1 Married - spouse in household"
"28861","1 Yes",75,"1 Married - spouse in household"
"28862","2 No",49,"1 Married - spouse in household"
"28863","2 No",31,"1 Married - spouse in household"
"28864","1 Yes",82,"4 Widowed"
"28865","1 Yes",46,"7 Never married"
"28866","1 Yes",45,"2 Married - spouse not in household"
"28867","1 Yes",47,"1 Married - spouse in household"
"28868","1 Yes",57,"1 Married - spouse in household"
"28869","1 Yes",22,"7 Never married"
"28870","1 Yes",63,"1 Married - spouse in household"
"28871","2 No",20,"7 Never married"
"28872","1 Yes",47,"8 Living with partner"
"28873","1 Yes",66,"1 Married - spouse in household"
"28874","2 No",22,"7 Never married"
"28875","1 Yes",57,"1 Married - spouse in household"
"28876","1 Yes",72,"1 Married - spouse in household"
"28877","1 Yes",22,"7 Never married"
"28878","1 Yes",24,"1 Married - spouse in household"
"28879","1 Yes",38,"1 Married - spouse in household"
"28880","1 Yes",81,"1 Married - spouse in household"
"28881","1 Yes",45,"6 Separated"
"28882","1 Yes",34,"7 Never married"
"28883","1 Yes",76,"4 Widowed"
"28884","1 Yes",59,"7 Never married"
"28885","1 Yes",48,"1 Married - spouse in household"
"28886","1 Yes",43,"7 Never married"
"28887","2 No",34,"6 Separated"
"28888","1 Yes",47,"5 Divorced"
"28889","1 Yes",54,"1 Married - spouse in household"
"28890","1 Yes",78,"4 Widowed"
"28891","1 Yes",20,"7 Never married"
"28892","1 Yes",46,"1 Married - spouse in household"
"28893","1 Yes",83,"4 Widowed"
"28894","1 Yes",44,"2 Married - spouse not in household"
"28895","1 Yes",32,"7 Never married"
"28896","1 Yes",37,"7 Never married"
"28897","2 No",29,"2 Married - spouse not in household"
"28898","1 Yes",65,"1 Married - spouse in household"
"28899","1 Yes",53,"1 Married - spouse in household"
"28900","1 Yes",72,"1 Married - spouse in household"
"28901","1 Yes",30,"7 Never married"
"28902","1 Yes",60,"6 Separated"
"28903","1 Yes",47,"1 Married - spouse in household"
"28904","1 Yes",58,"6 Separated"
"28905","2 No",51,"8 Living with partner"
"28906","1 Yes",53,"7 Never married"
"28907","1 Yes",35,"1 Married - spouse in household"
"28908","1 Yes",47,"8 Living with partner"
"28909","1 Yes",61,"6 Separated"
"28910","1 Yes",28,"7 Never married"
"28911","1 Yes",69,"1 Married - spouse in household"
"28912","1 Yes",48,"1 Married - spouse in household"
"28913","1 Yes",76,"5 Divorced"
"28914","1 Yes",46,"7 Never married"
"28915","2 No",41,"7 Never married"
"28916","1 Yes",63,"7 Never married"
"28917","1 Yes",33,"1 Married - spouse in household"
"28918","1 Yes",50,"5 Divorced"
"28919","1 Yes",57,"5 Divorced"
"28920","1 Yes",49,"1 Married - spouse in household"
"28921","1 Yes",42,"5 Divorced"
"28922","1 Yes",25,"5 Divorced"
"28923","1 Yes",22,"7 Never married"
"28924","1 Yes",39,"5 Divorced"
"28925","1 Yes",44,"5 Divorced"
"28926","1 Yes",58,"5 Divorced"
"28927","1 Yes",56,"1 Married - spouse in household"
"28928","1 Yes",44,"1 Married - spouse in household"
"28929","2 No",20,"7 Never married"
"28930","1 Yes",74,"1 Married - spouse in household"
"28931","2 No",22,"8 Living with partner"
"28932","1 Yes",23,"7 Never married"
"28933","1 Yes",40,"1 Married - spouse in household"
